Order ID,Order Date,Region,Product Category,Product,Quantity,Unit Price,Total Sales,Month
1001,2022-04-13,East,Electronics,Chair,6,210.81,1264.8600000000001,2022-04
1002,2022-12-15,East,Office Supplies,Notebook,2,210.81,421.62,2022-12
1003,2022-09-28,North,Electronics,Phone,4,210.81,843.24,2022-09
1004,2022-04-17,South,Office Supplies,Monitor,3,210.81,632.4300000000001,2022-04
1005,2022-03-13,South,Electronics,Printer,7,210.81,1475.67,2022-03
1006,2022-07-08,West,Furniture,Pen,9,210.81,1897.29,2022-07
1007,2022-01-21,South,Office Supplies,Chair,5,210.81,1054.05,2022-01
1008,2022-04-13,North,Office Supplies,Printer,6,210.81,1264.8600000000001,2022-04
1009,2022-05-02,East,Office Supplies,Printer,2,210.81,421.62,2022-05
1010,2022-08-03,South,Office Supplies,Laptop,3,210.81,632.4300000000001,2022-08
1011,2022-11-27,West,Furniture,Phone,3,210.81,632.4300000000001,2022-11
1012,2022-03-29,South,Office Supplies,Chair,9,210.81,1897.29,2022-03
1013,2022-04-10,North,Furniture,Notebook,7,210.81,1475.67,2022-04
1014,2022-12-26,West,Furniture,Pen,8,210.81,1686.48,2022-12
1015,2022-06-01,South,Furniture,Chair,9,210.81,1897.29,2022-06
1016,2022-05-11,West,Furniture,Notebook,6,210.81,1264.8600000000001,2022-05
1017,2022-05-30,North,Electronics,Printer,4,210.81,843.24,2022-05
1018,2022-11-05,East,Electronics,Pen,1,210.81,210.81,2022-11
1019,2022-09-15,North,Office Supplies,Notebook,8,210.81,1686.48,2022-09
1020,2022-12-10,North,Electronics,Monitor,7,210.81,1475.67,2022-12
1021,2022-10-21,North,Electronics,Notebook,2,210.81,421.62,2022-10
1022,2022-07-11,North,Office Supplies,Laptop,8,210.81,1686.48,2022-07
1023,2022-10-04,East,Office Supplies,Phone,5,210.81,1054.05,2022-10
1024,2022-06-10,East,Office Supplies,Printer,7,210.81,1475.67,2022-06
1025,2022-11-10,West,Electronics,Notebook,4,210.81,843.24,2022-11
1026,2022-01-22,South,Electronics,Phone,5,210.81,1054.05,2022-01
1027,2022-09-10,East,Office Supplies,Desk,8,210.81,1686.48,2022-09
1028,2022-08-24,East,Furniture,Desk,1,210.81,210.81,2022-08
1029,2022-12-11,South,Office Supplies,Phone,1,210.81,210.81,2022-12
1030,2022-02-18,East,Furniture,Phone,4,210.81,843.24,2022-02
1031,2022-02-28,North,Furniture,Laptop,3,210.81,632.4300000000001,2022-02
1032,2022-06-19,North,Office Supplies,Monitor,2,210.81,421.62,2022-06
1033,2022-07-07,South,Office Supplies,Printer,3,210.81,632.4300000000001,2022-07
1034,2022-09-28,West,Office Supplies,Chair,1,210.81,210.81,2022-09
1035,2022-07-09,West,Electronics,Laptop,1,210.81,210.81,2022-07
1036,2022-06-24,South,Furniture,Monitor,6,210.81,1264.8600000000001,2022-06
1037,2022-02-20,South,Electronics,Phone,5,210.81,1054.05,2022-02
1038,2022-12-30,North,Electronics,Chair,8,210.81,1686.48,2022-12
1039,2022-02-24,West,Office Supplies,Phone,2,210.81,421.62,2022-02
1040,2022-09-01,East,Electronics,Phone,4,210.81,843.24,2022-09
1041,2022-11-16,North,Office Supplies,Desk,8,210.81,1686.48,2022-11
1042,2022-05-11,South,Furniture,Desk,6,210.81,1264.8600000000001,2022-05
1043,2022-11-03,West,Office Supplies,Chair,1,210.81,210.81,2022-11
1044,2022-05-15,East,Electronics,Laptop,4,210.81,843.24,2022-05
1045,2022-01-21,East,Electronics,Desk,1,210.81,210.81,2022-01
1046,2022-11-25,North,Office Supplies,Printer,2,210.81,421.62,2022-11
